0||NA|no data|190
1|no data; Matogueira e rochedo; Termotemperado|NA|no data|12736
2|no data; Matogueira e rochedo; Mesotemperado inferior|NA|no data|7533
3|no data; Matogueira e rochedo; Mesotemperado superior|NA|no data|13685
4|no data; Matogueira e rochedo; Supra e orotemperado|NA|no data|749
5|no data; Turbeira; Mesotemperado superior|NA|no data|1185
6|no data; Bosque; Termotemperado|NA|no data|274
7|no data; Bosque; Mesotemperado inferior|NA|no data|394
8|no data; Bosque; Mesotemperado superior|NA|no data|76
9|no data; Agrosistema intensivo (plantacion forestal); no data|NA|no data|47
10|no data; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|13070
11|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|5087
12|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|7139
13|no data; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|NA|no data|4597
14|no data; Agrosistema extensivo; Termotemperado|NA|no data|1187
15|no data; Agrosistema extensivo; Mesotemperado inferior|NA|no data|3746
16|no data; Agrosistema extensivo; Mesotemperado superior|NA|no data|34431
17|no data; Rururbano (diseminado); no data|NA|no data|41
18|no data; Rururbano (diseminado); Termotemperado|NA|no data|21438
19|no data; Rururbano (diseminado); Mesotemperado inferior|NA|no data|3501
20|no data; Rururbano (diseminado); Mesotemperado superior|NA|no data|6768
21|no data; Urbano; Mesotemperado superior|NA|no data|1884
22|no data; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|9
23|no data; Agrosistema intensivo (mosaico agroforestal); Termotemperado|NA|no data|8389
24|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|2177
25|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|40532
26|Litoral Cantabro-Atlantico; no data; no data|NA|no data|4745
27|Litoral Cantabro-Atlantico; no data; Termotemperado|NA|no data|1788
28|Litoral Cantabro-Atlantico; Matogueira e rochedo; no data|1||1584
28|Litoral Cantabro-Atlantico; Matogueira e rochedo; no data|NA|no data|38713
29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|1||11417
29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|NA|no data|382026
30|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado inferior|1||1149
30|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado inferior|NA|no data|45987
31|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado superior|NA|no data|1853
32|Litoral Cantabro-Atlantico; Turbeira; Termotemperado|NA|no data|661
33|Litoral Cantabro-Atlantico; Turbeira; Mesotemperado inferior|NA|no data|1442
34|Litoral Cantabro-Atlantico; Bosque; no data|NA|no data|264
35|Litoral Cantabro-Atlantico; Bosque; Termotemperado|1||3258
35|Litoral Cantabro-Atlantico; Bosque; Termotemperado|NA|no data|12330
36|Litoral Cantabro-Atlantico; Bosque; Mesotemperado inferior|NA|no data|1365
37|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); no data|1||241
37|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); no data|NA|no data|14543
38|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Termotemperado|1||18433
38|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|605087
39|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|292382
40|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|581
41|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); no data|1||6
41|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); no data|NA|no data|4608
42|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Termotemperado|1||2715
42|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Termotemperado|NA|no data|101192
43|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|1||33
43|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|NA|no data|1334
44|Litoral Cantabro-Atlantico; Agrosistema extensivo; no data|1||3
44|Litoral Cantabro-Atlantico; Agrosistema extensivo; no data|NA|no data|5142
45|Litoral Cantabro-Atlantico; Agrosistema extensivo; Termotemperado|1||2263
45|Litoral Cantabro-Atlantico; Agrosistema extensivo; Termotemperado|NA|no data|72368
46|Litoral Cantabro-Atlantico; Agrosistema extensivo; Mesotemperado inferior|NA|no data|819
47|Litoral Cantabro-Atlantico; Rururbano (diseminado); no data|1||3773
47|Litoral Cantabro-Atlantico; Rururbano (diseminado); no data|NA|no data|43465
48|Litoral Cantabro-Atlantico; Rururbano (diseminado); Termotemperado|1||120864
48|Litoral Cantabro-Atlantico; Rururbano (diseminado); Termotemperado|NA|no data|1437352
49|Litoral Cantabro-Atlantico; Rururbano (diseminado); Mesotemperado inferior|NA|no data|17830
50|Litoral Cantabro-Atlantico; Urbano; no data|1||3792
50|Litoral Cantabro-Atlantico; Urbano; no data|NA|no data|17411
51|Litoral Cantabro-Atlantico; Urbano; Termotemperado|1||39408
51|Litoral Cantabro-Atlantico; Urbano; Termotemperado|NA|no data|211862
52|Litoral Cantabro-Atlantico; Urbano; Mesotemperado inferior|NA|no data|4322
53|Litoral Cantabro-Atlantico; Extractivo; no data|NA|no data|386
54|Litoral Cantabro-Atlantico; Extractivo; Termotemperado|NA|no data|8299
55|Litoral Cantabro-Atlantico; Extractivo; Mesotemperado inferior|NA|no data|175
56|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); no data|1||609
56|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|19525
57|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Termotemperado|1||62400
57|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Termotemperado|NA|no data|1087847
58|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|1||365
58|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|138359
59|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|137
60|Litoral Cantabro-Atlantico; Viñedo; no data|NA|no data|1088
61|Litoral Cantabro-Atlantico; Viñedo; Termotemperado|1||1804
61|Litoral Cantabro-Atlantico; Viñedo; Termotemperado|NA|no data|63737
62|Litoral Cantabro-Atlantico; Conxunto Historico; no data|1||367
62|Litoral Cantabro-Atlantico; Conxunto Historico; no data|NA|no data|882
63|Litoral Cantabro-Atlantico; Conxunto Historico; Termotemperado|1||2783
63|Litoral Cantabro-Atlantico; Conxunto Historico; Termotemperado|NA|no data|6172
64|Litoral Cantabro-Atlantico; Conxunto Historico; Mesotemperado inferior|NA|no data|276
65|Vales sublitorais; no data; Mesotemperado inferior|NA|no data|3493
66|Vales sublitorais; Matogueira e rochedo; no data|NA|no data|1283
67|Vales sublitorais; Matogueira e rochedo; Termotemperado|1||10497
67|Vales sublitorais; Matogueira e rochedo; Termotemperado|NA|no data|431105
68|Vales sublitorais; Matogueira e rochedo; Mesotemperado inferior|1||19248
68|Vales sublitorais; Matogueira e rochedo; Mesotemperado inferior|NA|no data|877349
69|Vales sublitorais; Matogueira e rochedo; Mesotemperado superior|1||5498
69|Vales sublitorais; Matogueira e rochedo; Mesotemperado superior|NA|no data|397745
70|Vales sublitorais; Matogueira e rochedo; Supra e orotemperado|1||29
70|Vales sublitorais; Matogueira e rochedo; Supra e orotemperado|NA|no data|3322
71|Vales sublitorais; Turbeira; Mesotemperado inferior|1||177
71|Vales sublitorais; Turbeira; Mesotemperado inferior|NA|no data|15200
72|Vales sublitorais; Turbeira; Mesotemperado superior|1||277
72|Vales sublitorais; Turbeira; Mesotemperado superior|NA|no data|28268
73|Vales sublitorais; Turbeira; Supra e orotemperado|NA|no data|1
74|Vales sublitorais; Bosque; no data|NA|no data|116
75|Vales sublitorais; Bosque; Termotemperado|1||45
75|Vales sublitorais; Bosque; Termotemperado|NA|no data|67116
76|Vales sublitorais; Bosque; Mesotemperado inferior|1||3418
76|Vales sublitorais; Bosque; Mesotemperado inferior|NA|no data|230892
77|Vales sublitorais; Bosque; Mesotemperado superior|1||1916
77|Vales sublitorais; Bosque; Mesotemperado superior|NA|no data|180819
78|Vales sublitorais; Bosque; Supra e orotemperado|1||644
78|Vales sublitorais; Bosque; Supra e orotemperado|NA|no data|4739
79|Vales sublitorais; Agrosistema intensivo (plantacion forestal); no data|NA|no data|1028
80|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Termotemperado|1||16942
80|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|830621
81|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|1||40959
81|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|1331626
82|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|1||7456
82|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|275473
83|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Supra e orotemperado|1||2
83|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Supra e orotemperado|NA|no data|1096
84|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Termotemperado|1||4233
84|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Termotemperado|NA|no data|42176
85|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|1||36863
85|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|NA|no data|346784
86|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|1||6870
86|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|NA|no data|78091
87|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Supra e orotemperado|NA|no data|14
88|Vales sublitorais; Agrosistema extensivo; no data|NA|no data|210
89|Vales sublitorais; Agrosistema extensivo; Termotemperado|1||3969
89|Vales sublitorais; Agrosistema extensivo; Termotemperado|NA|no data|165678
90|Vales sublitorais; Agrosistema extensivo; Mesotemperado inferior|1||73724
90|Vales sublitorais; Agrosistema extensivo; Mesotemperado inferior|NA|no data|1220745
91|Vales sublitorais; Agrosistema extensivo; Mesotemperado superior|1||26044
91|Vales sublitorais; Agrosistema extensivo; Mesotemperado superior|NA|no data|545603
92|Vales sublitorais; Agrosistema extensivo; Supra e orotemperado|1||1442
92|Vales sublitorais; Agrosistema extensivo; Supra e orotemperado|NA|no data|9439
93|Vales sublitorais; Agrosistema extensivo; Mesomediterráneo|NA|no data|89
94|Vales sublitorais; Rururbano (diseminado); no data|NA|no data|97
95|Vales sublitorais; Rururbano (diseminado); Termotemperado|1||63295
95|Vales sublitorais; Rururbano (diseminado); Termotemperado|NA|no data|732707
96|Vales sublitorais; Rururbano (diseminado); Mesotemperado inferior|1||71556
96|Vales sublitorais; Rururbano (diseminado); Mesotemperado inferior|NA|no data|393350
97|Vales sublitorais; Rururbano (diseminado); Mesotemperado superior|1||6255
97|Vales sublitorais; Rururbano (diseminado); Mesotemperado superior|NA|no data|36586
98|Vales sublitorais; Urbano; Termotemperado|1||3831
98|Vales sublitorais; Urbano; Termotemperado|NA|no data|30445
99|Vales sublitorais; Urbano; Mesotemperado inferior|1||17068
99|Vales sublitorais; Urbano; Mesotemperado inferior|NA|no data|34359
