0||NA|no data|190
1|no data; Matogueira e rochedo; Termotemperado|NA|no data|12736
2|no data; Matogueira e rochedo; Mesotemperado inferior|NA|no data|7533
3|no data; Matogueira e rochedo; Mesotemperado superior|NA|no data|13685
4|no data; Matogueira e rochedo; Supra e orotemperado|NA|no data|749
5|no data; Turbeira; Mesotemperado superior|NA|no data|1185
6|no data; Bosque; Termotemperado|NA|no data|274
7|no data; Bosque; Mesotemperado inferior|NA|no data|394
8|no data; Bosque; Mesotemperado superior|NA|no data|76
9|no data; Agrosistema intensivo (plantacion forestal); no data|NA|no data|47
10|no data; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|13070
11|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|5087
12|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|7139
13|no data; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|NA|no data|4597
14|no data; Agrosistema extensivo; Termotemperado|NA|no data|1187
15|no data; Agrosistema extensivo; Mesotemperado inferior|NA|no data|3746
16|no data; Agrosistema extensivo; Mesotemperado superior|NA|no data|34431
17|no data; Rururbano (diseminado); no data|NA|no data|41
18|no data; Rururbano (diseminado); Termotemperado|NA|no data|21438
19|no data; Rururbano (diseminado); Mesotemperado inferior|NA|no data|3501
20|no data; Rururbano (diseminado); Mesotemperado superior|NA|no data|6768
21|no data; Urbano; Mesotemperado superior|NA|no data|1884
22|no data; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|9
23|no data; Agrosistema intensivo (mosaico agroforestal); Termotemperado|NA|no data|8389
24|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|2177
25|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|40532
26|Litoral Cantabro-Atlantico; no data; no data|NA|no data|4745
27|Litoral Cantabro-Atlantico; no data; Termotemperado|NA|no data|1788
28|Litoral Cantabro-Atlantico; Matogueira e rochedo; no data|NA|no data|40297
29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|1|Value 1|162
29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|NA|no data|393281
30|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado inferior|NA|no data|47136
31|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado superior|NA|no data|1853
32|Litoral Cantabro-Atlantico; Turbeira; Termotemperado|NA|no data|661
33|Litoral Cantabro-Atlantico; Turbeira; Mesotemperado inferior|NA|no data|1442
34|Litoral Cantabro-Atlantico; Bosque; no data|NA|no data|264
35|Litoral Cantabro-Atlantico; Bosque; Termotemperado|NA|no data|15588
36|Litoral Cantabro-Atlantico; Bosque; Mesotemperado inferior|NA|no data|1365
37|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); no data|NA|no data|14784
38|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Termotemperado|1|Value 1|4
38|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|623516
39|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|292382
40|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|581
41|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); no data|NA|no data|4614
42|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Termotemperado|NA|no data|103907
43|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|NA|no data|1367
44|Litoral Cantabro-Atlantico; Agrosistema extensivo; no data|NA|no data|5145
45|Litoral Cantabro-Atlantico; Agrosistema extensivo; Termotemperado|NA|no data|74631
46|Litoral Cantabro-Atlantico; Agrosistema extensivo; Mesotemperado inferior|NA|no data|819
47|Litoral Cantabro-Atlantico; Rururbano (diseminado); no data|NA|no data|47238
48|Litoral Cantabro-Atlantico; Rururbano (diseminado); Termotemperado|NA|no data|1558216
49|Litoral Cantabro-Atlantico; Rururbano (diseminado); Mesotemperado inferior|NA|no data|17830
50|Litoral Cantabro-Atlantico; Urbano; no data|NA|no data|21203
51|Litoral Cantabro-Atlantico; Urbano; Termotemperado|1|Value 1|1
51|Litoral Cantabro-Atlantico; Urbano; Termotemperado|NA|no data|251269
52|Litoral Cantabro-Atlantico; Urbano; Mesotemperado inferior|NA|no data|4322
53|Litoral Cantabro-Atlantico; Extractivo; no data|NA|no data|386
54|Litoral Cantabro-Atlantico; Extractivo; Termotemperado|NA|no data|8299
55|Litoral Cantabro-Atlantico; Extractivo; Mesotemperado inferior|NA|no data|175
56|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|20134
57|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Termotemperado|NA|no data|1150247
58|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|138724
59|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|137
60|Litoral Cantabro-Atlantico; Viñedo; no data|NA|no data|1088
61|Litoral Cantabro-Atlantico; Viñedo; Termotemperado|NA|no data|65541
62|Litoral Cantabro-Atlantico; Conxunto Historico; no data|NA|no data|1249
63|Litoral Cantabro-Atlantico; Conxunto Historico; Termotemperado|NA|no data|8955
64|Litoral Cantabro-Atlantico; Conxunto Historico; Mesotemperado inferior|NA|no data|276
65|Vales sublitorais; no data; Mesotemperado inferior|NA|no data|3493
66|Vales sublitorais; Matogueira e rochedo; no data|NA|no data|1283
67|Vales sublitorais; Matogueira e rochedo; Termotemperado|1|Value 1|28
67|Vales sublitorais; Matogueira e rochedo; Termotemperado|NA|no data|441574
68|Vales sublitorais; Matogueira e rochedo; Mesotemperado inferior|1|Value 1|186
68|Vales sublitorais; Matogueira e rochedo; Mesotemperado inferior|NA|no data|896411
69|Vales sublitorais; Matogueira e rochedo; Mesotemperado superior|1|Value 1|220
69|Vales sublitorais; Matogueira e rochedo; Mesotemperado superior|NA|no data|403023
70|Vales sublitorais; Matogueira e rochedo; Supra e orotemperado|NA|no data|3351
71|Vales sublitorais; Turbeira; Mesotemperado inferior|1|Value 1|17
71|Vales sublitorais; Turbeira; Mesotemperado inferior|NA|no data|15360
72|Vales sublitorais; Turbeira; Mesotemperado superior|1|Value 1|51
72|Vales sublitorais; Turbeira; Mesotemperado superior|NA|no data|28494
73|Vales sublitorais; Turbeira; Supra e orotemperado|NA|no data|1
74|Vales sublitorais; Bosque; no data|NA|no data|116
75|Vales sublitorais; Bosque; Termotemperado|NA|no data|67161
76|Vales sublitorais; Bosque; Mesotemperado inferior|NA|no data|234310
77|Vales sublitorais; Bosque; Mesotemperado superior|NA|no data|182735
78|Vales sublitorais; Bosque; Supra e orotemperado|NA|no data|5383
79|Vales sublitorais; Agrosistema intensivo (plantacion forestal); no data|NA|no data|1028
80|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Termotemperado|1|Value 1|4
80|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|847559
81|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|1|Value 1|112
81|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|1372473
82|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|1|Value 1|128
82|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|282801
83|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Supra e orotemperado|NA|no data|1098
84|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Termotemperado|NA|no data|46409
85|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|NA|no data|383647
86|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|1|Value 1|3
86|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|NA|no data|84958
87|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Supra e orotemperado|NA|no data|14
88|Vales sublitorais; Agrosistema extensivo; no data|NA|no data|210
89|Vales sublitorais; Agrosistema extensivo; Termotemperado|NA|no data|169647
90|Vales sublitorais; Agrosistema extensivo; Mesotemperado inferior|1|Value 1|5
90|Vales sublitorais; Agrosistema extensivo; Mesotemperado inferior|NA|no data|1294464
91|Vales sublitorais; Agrosistema extensivo; Mesotemperado superior|1|Value 1|11
91|Vales sublitorais; Agrosistema extensivo; Mesotemperado superior|NA|no data|571636
92|Vales sublitorais; Agrosistema extensivo; Supra e orotemperado|NA|no data|10881
93|Vales sublitorais; Agrosistema extensivo; Mesomediterráneo|NA|no data|89
94|Vales sublitorais; Rururbano (diseminado); no data|NA|no data|97
95|Vales sublitorais; Rururbano (diseminado); Termotemperado|NA|no data|796002
96|Vales sublitorais; Rururbano (diseminado); Mesotemperado inferior|NA|no data|464906
97|Vales sublitorais; Rururbano (diseminado); Mesotemperado superior|1|Value 1|10
97|Vales sublitorais; Rururbano (diseminado); Mesotemperado superior|NA|no data|42831
98|Vales sublitorais; Urbano; Termotemperado|NA|no data|34276
99|Vales sublitorais; Urbano; Mesotemperado inferior|NA|no data|51427
100|Vales sublitorais; Urbano; Mesotemperado superior|NA|no data|4033
101|Vales sublitorais; Extractivo; Termotemperado|NA|no data|6024
102|Vales sublitorais; Extractivo; Mesotemperado inferior|NA|no data|25579
103|Vales sublitorais; Extractivo; Mesotemperado superior|NA|no data|100
104|Vales sublitorais; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|841
105|Vales sublitorais; Agrosistema intensivo (mosaico agroforestal); Termotemperado|NA|no data|1240197
106|Vales sublitorais; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|1|Value 1|15
106|Vales sublitorais; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|3571539
107|Vales sublitorais; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|1|Value 1|25
107|Vales sublitorais; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|718868
108|Vales sublitorais; Agrosistema intensivo (mosaico agroforestal); Supra e orotemperado|NA|no data|107
109|Vales sublitorais; Viñedo; Termotemperado|NA|no data|3050
110|Vales sublitorais; Viñedo; Mesomediterráneo|NA|no data|57
111|Vales sublitorais; Conxunto Historico; Mesotemperado inferior|NA|no data|1625
112|Serras; no data; Mesotemperado inferior|NA|no data|12
113|Serras; no data; Mesotemperado superior|NA|no data|1372
114|Serras; Matogueira e rochedo; no data|NA|no data|34907
115|Serras; Matogueira e rochedo; Termotemperado|1|Value 1|1
115|Serras; Matogueira e rochedo; Termotemperado|NA|no data|74436
116|Serras; Matogueira e rochedo; Mesotemperado inferior|1|Value 1|140
116|Serras; Matogueira e rochedo; Mesotemperado inferior|NA|no data|1290312
117|Serras; Matogueira e rochedo; Mesotemperado superior|1|Value 1|703
117|Serras; Matogueira e rochedo; Mesotemperado superior|NA|no data|2380434
118|Serras; Matogueira e rochedo; Supra e orotemperado|1|Value 1|679
118|Serras; Matogueira e rochedo; Supra e orotemperado|NA|no data|2896332
119|Serras; Matogueira e rochedo; Mesomediterráneo|NA|no data|90138
120|Serras; Turbeira; no data|NA|no data|351
121|Serras; Turbeira; Mesotemperado inferior|1|Value 1|36
121|Serras; Turbeira; Mesotemperado inferior|NA|no data|25194
122|Serras; Turbeira; Mesotemperado superior|1|Value 1|498
122|Serras; Turbeira; Mesotemperado superior|NA|no data|334926
123|Serras; Turbeira; Supra e orotemperado|1|Value 1|423
