0||NA|no data|190
1|no data; Matogueira e rochedo; Termotemperado|NA|no data|12736
2|no data; Matogueira e rochedo; Mesotemperado inferior|NA|no data|7533
3|no data; Matogueira e rochedo; Mesotemperado superior|NA|no data|13685
4|no data; Matogueira e rochedo; Supra e orotemperado|NA|no data|749
5|no data; Turbeira; Mesotemperado superior|NA|no data|1185
6|no data; Bosque; Termotemperado|NA|no data|274
7|no data; Bosque; Mesotemperado inferior|NA|no data|394
8|no data; Bosque; Mesotemperado superior|NA|no data|76
9|no data; Agrosistema intensivo (plantacion forestal); no data|NA|no data|47
10|no data; Agrosistema intensivo (plantacion forestal); Termotemperado|1|Value 1|1
10|no data; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|13069
11|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|5087
12|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|7139
13|no data; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|NA|no data|4597
14|no data; Agrosistema extensivo; Termotemperado|NA|no data|1187
15|no data; Agrosistema extensivo; Mesotemperado inferior|NA|no data|3746
16|no data; Agrosistema extensivo; Mesotemperado superior|NA|no data|34431
17|no data; Rururbano (diseminado); no data|NA|no data|41
18|no data; Rururbano (diseminado); Termotemperado|1|Value 1|1
18|no data; Rururbano (diseminado); Termotemperado|NA|no data|21437
19|no data; Rururbano (diseminado); Mesotemperado inferior|NA|no data|3501
20|no data; Rururbano (diseminado); Mesotemperado superior|NA|no data|6768
21|no data; Urbano; Mesotemperado superior|NA|no data|1884
22|no data; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|9
23|no data; Agrosistema intensivo (mosaico agroforestal); Termotemperado|NA|no data|8389
24|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|2177
25|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|40532
26|Litoral Cantabro-Atlantico; no data; no data|NA|no data|4745
27|Litoral Cantabro-Atlantico; no data; Termotemperado|1|Value 1|1
27|Litoral Cantabro-Atlantico; no data; Termotemperado|NA|no data|1787
28|Litoral Cantabro-Atlantico; Matogueira e rochedo; no data|1|Value 1|15
28|Litoral Cantabro-Atlantico; Matogueira e rochedo; no data|NA|no data|40282
29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|1|Value 1|68
29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|NA|no data|393375
30|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado inferior|1|Value 1|4
30|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado inferior|NA|no data|47132
31|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado superior|NA|no data|1853
32|Litoral Cantabro-Atlantico; Turbeira; Termotemperado|NA|no data|661
33|Litoral Cantabro-Atlantico; Turbeira; Mesotemperado inferior|NA|no data|1442
34|Litoral Cantabro-Atlantico; Bosque; no data|1|Value 1|1
34|Litoral Cantabro-Atlantico; Bosque; no data|NA|no data|263
35|Litoral Cantabro-Atlantico; Bosque; Termotemperado|1|Value 1|1
35|Litoral Cantabro-Atlantico; Bosque; Termotemperado|NA|no data|15587
36|Litoral Cantabro-Atlantico; Bosque; Mesotemperado inferior|NA|no data|1365
37|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); no data|1|Value 1|3
37|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); no data|NA|no data|14781
38|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Termotemperado|1|Value 1|25
38|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|623495
39|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|1|Value 1|6
39|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|292376
40|Litoral Cantabro-Atlantico; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|581
41|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); no data|1|Value 1|1
41|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); no data|NA|no data|4613
42|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Termotemperado|1|Value 1|4
42|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Termotemperado|NA|no data|103903
43|Litoral Cantabro-Atlantico; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|NA|no data|1367
44|Litoral Cantabro-Atlantico; Agrosistema extensivo; no data|NA|no data|5145
45|Litoral Cantabro-Atlantico; Agrosistema extensivo; Termotemperado|1|Value 1|4
45|Litoral Cantabro-Atlantico; Agrosistema extensivo; Termotemperado|NA|no data|74627
46|Litoral Cantabro-Atlantico; Agrosistema extensivo; Mesotemperado inferior|NA|no data|819
47|Litoral Cantabro-Atlantico; Rururbano (diseminado); no data|1|Value 1|2
47|Litoral Cantabro-Atlantico; Rururbano (diseminado); no data|NA|no data|47236
48|Litoral Cantabro-Atlantico; Rururbano (diseminado); Termotemperado|1|Value 1|35
48|Litoral Cantabro-Atlantico; Rururbano (diseminado); Termotemperado|NA|no data|1558181
49|Litoral Cantabro-Atlantico; Rururbano (diseminado); Mesotemperado inferior|1|Value 1|1
49|Litoral Cantabro-Atlantico; Rururbano (diseminado); Mesotemperado inferior|NA|no data|17829
50|Litoral Cantabro-Atlantico; Urbano; no data|1|Value 1|4
50|Litoral Cantabro-Atlantico; Urbano; no data|NA|no data|21199
51|Litoral Cantabro-Atlantico; Urbano; Termotemperado|1|Value 1|3
51|Litoral Cantabro-Atlantico; Urbano; Termotemperado|NA|no data|251267
52|Litoral Cantabro-Atlantico; Urbano; Mesotemperado inferior|NA|no data|4322
53|Litoral Cantabro-Atlantico; Extractivo; no data|NA|no data|386
54|Litoral Cantabro-Atlantico; Extractivo; Termotemperado|NA|no data|8299
55|Litoral Cantabro-Atlantico; Extractivo; Mesotemperado inferior|NA|no data|175
56|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); no data|1|Value 1|6
56|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|20128
57|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Termotemperado|1|Value 1|11
57|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Termotemperado|NA|no data|1150236
58|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|1|Value 1|1
58|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|138723
59|Litoral Cantabro-Atlantico; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|137
60|Litoral Cantabro-Atlantico; Viñedo; no data|1|Value 1|1
60|Litoral Cantabro-Atlantico; Viñedo; no data|NA|no data|1087
61|Litoral Cantabro-Atlantico; Viñedo; Termotemperado|1|Value 1|3
61|Litoral Cantabro-Atlantico; Viñedo; Termotemperado|NA|no data|65538
62|Litoral Cantabro-Atlantico; Conxunto Historico; no data|1|Value 1|1
62|Litoral Cantabro-Atlantico; Conxunto Historico; no data|NA|no data|1248
63|Litoral Cantabro-Atlantico; Conxunto Historico; Termotemperado|1|Value 1|6
63|Litoral Cantabro-Atlantico; Conxunto Historico; Termotemperado|NA|no data|8949
64|Litoral Cantabro-Atlantico; Conxunto Historico; Mesotemperado inferior|NA|no data|276
65|Vales sublitorais; no data; Mesotemperado inferior|NA|no data|3493
66|Vales sublitorais; Matogueira e rochedo; no data|NA|no data|1283
67|Vales sublitorais; Matogueira e rochedo; Termotemperado|1|Value 1|6
67|Vales sublitorais; Matogueira e rochedo; Termotemperado|NA|no data|441596
68|Vales sublitorais; Matogueira e rochedo; Mesotemperado inferior|1|Value 1|18
68|Vales sublitorais; Matogueira e rochedo; Mesotemperado inferior|NA|no data|896579
69|Vales sublitorais; Matogueira e rochedo; Mesotemperado superior|1|Value 1|5
69|Vales sublitorais; Matogueira e rochedo; Mesotemperado superior|NA|no data|403238
70|Vales sublitorais; Matogueira e rochedo; Supra e orotemperado|NA|no data|3351
71|Vales sublitorais; Turbeira; Mesotemperado inferior|NA|no data|15377
72|Vales sublitorais; Turbeira; Mesotemperado superior|NA|no data|28545
73|Vales sublitorais; Turbeira; Supra e orotemperado|NA|no data|1
74|Vales sublitorais; Bosque; no data|NA|no data|116
75|Vales sublitorais; Bosque; Termotemperado|1|Value 1|6
75|Vales sublitorais; Bosque; Termotemperado|NA|no data|67155
76|Vales sublitorais; Bosque; Mesotemperado inferior|1|Value 1|13
76|Vales sublitorais; Bosque; Mesotemperado inferior|NA|no data|234297
77|Vales sublitorais; Bosque; Mesotemperado superior|1|Value 1|4
77|Vales sublitorais; Bosque; Mesotemperado superior|NA|no data|182731
78|Vales sublitorais; Bosque; Supra e orotemperado|NA|no data|5383
79|Vales sublitorais; Agrosistema intensivo (plantacion forestal); no data|NA|no data|1028
80|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Termotemperado|1|Value 1|17
80|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|847546
81|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|1|Value 1|27
81|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|1372558
82|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|1|Value 1|3
82|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|282926
83|Vales sublitorais; Agrosistema intensivo (plantacion forestal); Supra e orotemperado|NA|no data|1098
84|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Termotemperado|NA|no data|46409
85|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|1|Value 1|1
85|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado inferior|NA|no data|383646
86|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Mesotemperado superior|NA|no data|84961
87|Vales sublitorais; Agrosistema intensivo (superficie de cultivo); Supra e orotemperado|NA|no data|14
88|Vales sublitorais; Agrosistema extensivo; no data|NA|no data|210
89|Vales sublitorais; Agrosistema extensivo; Termotemperado|1|Value 1|4
89|Vales sublitorais; Agrosistema extensivo; Termotemperado|NA|no data|169643
90|Vales sublitorais; Agrosistema extensivo; Mesotemperado inferior|1|Value 1|32
90|Vales sublitorais; Agrosistema extensivo; Mesotemperado inferior|NA|no data|1294437
91|Vales sublitorais; Agrosistema extensivo; Mesotemperado superior|1|Value 1|6
91|Vales sublitorais; Agrosistema extensivo; Mesotemperado superior|NA|no data|571641
92|Vales sublitorais; Agrosistema extensivo; Supra e orotemperado|NA|no data|10881
93|Vales sublitorais; Agrosistema extensivo; Mesomediterráneo|1|Value 1|1
93|Vales sublitorais; Agrosistema extensivo; Mesomediterráneo|NA|no data|88
94|Vales sublitorais; Rururbano (diseminado); no data|NA|no data|97
95|Vales sublitorais; Rururbano (diseminado); Termotemperado|1|Value 1|21
95|Vales sublitorais; Rururbano (diseminado); Termotemperado|NA|no data|795981
96|Vales sublitorais; Rururbano (diseminado); Mesotemperado inferior|1|Value 1|5
96|Vales sublitorais; Rururbano (diseminado); Mesotemperado inferior|NA|no data|464901
97|Vales sublitorais; Rururbano (diseminado); Mesotemperado superior|NA|no data|42841
98|Vales sublitorais; Urbano; Termotemperado|NA|no data|34276
99|Vales sublitorais; Urbano; Mesotemperado inferior|1|Value 1|6
99|Vales sublitorais; Urbano; Mesotemperado inferior|NA|no data|51421
